2024-06-04 09:11:47.516787, -1001622654998_119648, TLMUSDT, long/buy/покупка, standard3-1
2024-06-04 09:15:33.055862, -1001902940198_12839, FLOKIUSDT, long/buy/покупка, standard3-1
2024-06-04 09:20:46.320568, -1001622654998_119653, IOTXUSDT, long/buy/покупка, standard3-1
2024-06-04 09:33:58.778563, -1001552004524_34966, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-04 09:34:05.647898, -1001913353132_1251, ORIDUSDT, long/buy/покупка, standard3-1
2024-06-04 09:38:12.928844, -1001212188460_26408, MANAUSDT, long/buy/покупка, standard3-1
2024-06-04 09:40:31.163540, -1001693869876_2570, BAKEUSDT, long/buy/покупка, standard3-1
2024-06-04 09:40:34.236147, -1001833426987_4175, BAKEUSDT, short/sell/продажа, standard3-1
2024-06-04 09:44:49.144043, -1002137572094_1764, LPTUSDT, long/buy/покупка, standard3-1
2024-06-04 09:46:20.670833, -1001988377539_1519, BAKEUSDT, long/buy/покупка, standard3-1
2024-06-04 09:48:12.686484, -1001155784837_32759, DYDXUSDT, short/sell/продажа, standard3-1
2024-06-04 09:53:01.945538, -1001763937690_3624, HBARUSDT, short/sell/продажа, standard3-1
2024-06-04 10:09:21.322283, -1001552004524_34968, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-04 10:31:32.302502, -1001552004524_34970, TOMOUSDT, short/sell/продажа, standard3-1
2024-06-04 10:54:10.453948, -1001553551852_38245, ALICEUSDT, short/sell/продажа, standard3-1
2024-06-04 10:56:00.470221, -1001553551852_38248, ALGOUSDT, long/buy/покупка, standard3-1
2024-06-04 11:01:06.809436, -1001622654998_119656, RUNEUSDT, long/buy/покупка, standard3-1
2024-06-04 11:05:00.703490, -1001902940198_12844, TOURNAMENTUSDT, long/buy/покупка, standard3-1
2024-06-04 11:14:20.561898, -1001902940198_12846, KAVAUSDT, long/buy/покупка, standard3-1
2024-06-04 11:32:52.011710, -1001747188464_4659, ETCUSDT, long/buy/покупка, standard3-1
2024-06-04 11:40:02.312955, -1001552004524_34976, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-04 11:40:39.924138, -1001962664913_2659, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 12:04:12.818802, -1001317169843_11931, STEEMUSDT, long/buy/покупка, standard3-1
2024-06-04 12:07:20.474745, -1001622654998_119657, ICPUSDT, long/buy/покупка, standard3-1
2024-06-04 12:24:44.714534, -1001913353132_1253, ARBUSDT, short/sell/продажа, standard3-1
2024-06-04 12:53:07.983726, -1001552004524_34979, DYDXUSDT, short/sell/продажа, standard3-1
2024-06-04 12:55:35.002413, -1001902940198_12850, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 13:03:49.235863, -1001747188464_4661, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 13:05:21.666622, -1001869308849_3719, GALUSDT, short/sell/продажа, standard3-1
2024-06-04 13:05:25.750706, -1001851528268_2047, APTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:08:01.677084, -1001552004524_34980, FLOWUSDT, long/buy/покупка, standard3-1
2024-06-04 13:19:57.187458, -1001622654998_119659, ICPUSDT, long/buy/покупка, standard3-1
2024-06-04 13:22:31.116935, -1001622654998_119660, GRTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:26:06.027813, -1001233154810_3274, WIFUSDT, long/buy/покупка, standard3-1
2024-06-04 13:26:24.048931, -1001262962760_93900, MATICUSDT, long/buy/покупка, standard3-1
2024-06-04 13:32:48.478020, -1001902940198_12850, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 13:32:56.003438, -1001262962760_93900, MATICUSDT, long/buy/покупка, standard3-1
2024-06-04 13:36:42.174783, -1001552004524_34980, FLOWUSDT, long/buy/покупка, standard3-1
2024-06-04 13:36:56.495443, -1001851528268_2047, APTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:37:31.162804, -1001913353132_1253, ARBUSDT, short/sell/продажа, standard3-1
2024-06-04 13:40:56.027459, -1001784672307_25282, ANKRUSDT, short/sell/продажа, standard3-1
2024-06-04 13:46:04.964197, -1001553551852_38256, ORDIUSDT, short/sell/продажа, standard3-1
2024-06-04 13:47:32.995395, -1001622654998_119661, GRTUSDT, long/buy/покупка, standard3-1
2024-06-04 13:48:24.601519, -1001962664913_2662, BSWUSDT, long/buy/покупка, standard3-1
2024-06-04 13:57:52.641393, -1001155784837_32765, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 14:09:06.893026, -1001553551852_38259, ARBUSDT, short/sell/продажа, standard3-1
2024-06-04 14:09:28.186094, -1001630692598_13011, COTIUSDT, long/buy/покупка, standard3-1
2024-06-04 14:12:18.498318, -1001553917296_3954, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 14:43:37.683860, -1001784672307_25298, DUSKUSDT, long/buy/покупка, standard3-1
2024-06-04 14:44:22.998724, -1001902940198_12853, GALAUSDT, long/buy/покупка, standard3-1
2024-06-04 14:51:09.402965, -1001784672307_25301, IOTAUSDT, long/buy/покупка, standard3-1
2024-06-04 15:10:33.342891, -1001622654998_119665, IOTXUSDT, long/buy/покупка, standard3-1
2024-06-04 15:19:05.871445, -1001212188460_26430, MANAUSDT, long/buy/покупка, standard3-1
2024-06-04 15:19:51.805889, -1001622654998_119668, XLMUSDT, long/buy/покупка, standard3-1
2024-06-04 15:24:11.340167, -1001784672307_25304, CKBUSDT, long/buy/покупка, standard3-1
2024-06-04 15:54:41.788086, -1001622654998_119676, GRTUSDT, long/buy/покупка, standard3-1
2024-06-04 15:57:19.853406, -1001566185302_2741, ONTUSDT, long/buy/покупка, standard3-1
2024-06-04 16:19:04.595184, -1001622654998_119678, DOGEUSDT, long/buy/покупка, standard3-1
2024-06-04 16:22:42.080976, -1001902940198_12855, ARBUSDT, long/buy/покупка, standard3-1
2024-06-04 16:24:08.838396, -1001375265989_22144, ETHUSDT, short/sell/продажа, standard3-1
2024-06-04 16:35:54.419425, -1001622654998_119680, SOLUSDT, long/buy/покупка, standard3-1
2024-06-04 16:36:48.663814, -1001487278892_9570, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 16:41:45.066871, -1001622654998_119682, RUNEUSDT, long/buy/покупка, standard3-1
2024-06-04 16:42:16.025666, -1001742471352_7495, BTCUSDT, long/buy/покупка, standard3-1
2024-06-04 17:00:18.205307, -1001478129073_1993, SOLUSDT, long/buy/покупка, standard3-1
2024-06-04 17:04:09.383235, -1001630692598_13023, SEIUSDT, long/buy/покупка, standard3-1
2024-06-04 17:06:40.522118, -1001304556087_14114, BTCUSDT, short/sell/продажа, standard3-1
2024-06-04 17:17:32.845220, -1001622654998_119685, UNIUSDT, long, standard3-1
2024-06-04 18:08:08.656505, -1001553551852_38274, LINAUSDT, short, standard3-1
2024-06-04 20:02:07.447166, -1001317169843_11936, USDTUSDT, short/sell/продажа, standard3-1
2024-06-05 02:21:50.896037, -1001622654998_119743, FETUSDT, long/buy/покупка, standard3-1
2024-06-05 02:21:56.039011, -1001553551852_38298, NTRNUSDT, long/buy/покупка, standard3-1
2024-06-05 02:23:57.743453, -1001622654998_119744, SOLUSDT, long/buy/покупка, standard3-1
2024-06-05 02:29:58.124282, -1001552004524_35010, FETUSDT, long/buy/покупка, standard3-1
2024-06-05 02:33:22.614474, -1001622654998_119746, IOTXUSDT, long/buy/покупка, standard3-1
2024-06-05 03:09:02.485796, -1001552004524_35012, ETHFIUSDT, long/buy/покупка, standard3-1
2024-06-05 03:29:31.630693, -1001552004524_35013, DYMUSDT, long/buy/покупка, standard3-1
2024-06-05 04:08:05.419955, -1001390568202_11826, ENJUSDT, short/sell/продажа, standard3-1
2024-06-05 04:08:07.521469, -1001390568202_11827, ENJUSDT, long/buy/покупка, standard3-1
2024-06-05 04:08:56.670612, -1001552004524_35015, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 04:14:04.943097, -1001390568202_11832, ORDIUSDT, long/buy/покупка, standard3-1
2024-06-05 05:22:41.798675, -1001939319331_11759, ASTRUSDT, long/buy/покупка, standard3-1
2024-06-05 05:22:43.767911, -1001939319331_11760, ASTRUSDT, long/buy/покупка, standard3-1
2024-06-05 05:35:58.772194, -1001553551852_38307, RSRUSDT, short/sell/продажа, standard3-1
2024-06-05 05:48:15.087575, -1001312794873_31364, TRBUSDT, long/buy/покупка, standard3-1
2024-06-05 05:49:17.088154, -1001197799988_38199, FLOKIUSDT, long/buy/покупка, standard3-1
2024-06-05 06:10:17.710990, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:13:36.902323, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:13:50.125318, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:14:03.199772, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:14:15.646025, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:14:36.510673, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:14:45.586390, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:15:22.760725, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:16:22.877838, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:17:02.760690, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 06:17:51.196823, 53435331_13909, TONUSDT, long/buy/покупка, standard3-1
2024-06-05 07:08:22.022686, -1001678077087_35782, TOMOUSDT, short/sell/продажа, standard3-1
2024-06-05 08:10:04.813651, -1001552004524_35029, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 08:41:46.262525, -1001552004524_35032, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 09:37:59.553286, -1001962664913_2671, FLOKIUSDT, long/buy/покупка, standard3-1
2024-06-05 09:54:37.081448, -1001552004524_35037, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 10:22:07.579767, -1001552004524_35038, BTCUSDT, short/sell/продажа, standard3-1
2024-06-05 10:48:37.302493, -1001833426987_4184, LINKUSDT, short/sell/продажа, standard3-1
2024-06-05 10:55:45.068597, -1001748903081_2169, CRVUSDT, short/sell/продажа, standard3-1
2024-06-05 11:01:11.978484, -1001552004524_35041, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 11:01:43.310844, -1001939319331_11782, MYROUSDT, long/buy/покупка, standard3-1
2024-06-05 11:11:45.938506, -1001939319331_11782, MYROUSDT, long/buy/покупка, standard3-1
2024-06-05 11:12:30.058271, -1001939319331_11782, MYROUSDT, long/buy/покупка, standard3-1
2024-06-05 11:14:03.274742, -1001493720845_6037, UNFIUSDT, long/buy/покупка, standard3-1
2024-06-05 11:16:02.579133, -1001593982841_5742, 1INCHUSDT, long/buy/покупка, standard3-1
2024-06-05 11:16:49.268437, -1001493720845_6038, UNFIUSDT, long/buy/покупка, standard3-1
2024-06-05 11:50:22.810592, -1001552004524_35044, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 11:52:50.218848, -1001630692598_13040, KASUSDT, short/sell/продажа, standard3-1
2024-06-05 12:01:16.066205, 53435331_13924, KASUSDT, short/sell/продажа, standard3-1
2024-06-05 12:03:09.075141, -1001630692598_13040, KASSHORTUSDT, short/sell/продажа, standard3-1
2024-06-05 12:03:11.638299, 53435331_13924, KASUSDT, short/sell/продажа, standard3-1
2024-06-05 12:03:55.913496, -1001553551852_38326, KASUSDT, long/buy/покупка, standard3-1
2024-06-05 12:04:10.889498, -1001630692598_13040, KASUSDT, short/sell/продажа, standard3-1
2024-06-05 12:04:13.875124, -1001553551852_38326, KASUSDT, long/buy/покупка, standard3-1
2024-06-05 12:04:17.091174, 53435331_13924, KASUSDT, short/sell/продажа, standard3-1
2024-06-05 12:04:17.438308, -1001317169843_11945, METISUSDT, long, standard3-1
2024-06-05 12:10:11.477020, -1001939319331_11786, BNXUSDT, long/buy/покупка, standard3-1
2024-06-05 12:26:41.013668, -1001646418210_2054, FTMUSDT, short/sell/продажа, standard3-1
2024-06-05 12:29:14.967698, -1001262962760_93912, FTMUSDT, short/sell/продажа, standard3-1
2024-06-05 12:32:33.431047, -1001437466982_7933, OMGUSDT, long/buy/покупка, standard3-1
2024-06-05 12:51:51.387965, -1001552004524_35046, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 12:59:56.947780, 53435331_13926, TONUSDT, short/sell/продажа, standard3-1
2024-06-05 13:07:22.152159, -1001552004524_35047, APEUSDT, long/buy/покупка, standard3-1
2024-06-05 13:42:57.552058, -1001552004524_35048, CVXUSDT, long/buy/покупка, standard3-1
2024-06-05 14:40:35.072941, 53435331_13950, TONUSDTUSDT, long, standard3-1
2024-06-05 14:41:40.349431, 53435331_13951, TONUSDTUSDT, long, standard3-1
2024-06-05 14:41:56.487253, 53435331_13952, TONUSDTUSDT, long, standard3-1
2024-06-05 15:30:14.427446, -1001553917296_3983, #MTL#BNB#SLP#FTM#BB-NOTDETERMINEDUSDT, long, standard3-1
2024-06-05 15:51:06.789831, -1001552004524_35060, BTCUSDT, short, standard3-1
2024-06-05 15:56:34.073046, -1001233154810_3284, BTCUSDT, long, standard3-1
2024-06-05 16:08:10.613135, -1001566185302_2747, ALGONOTDETERMINED)USDT, long, standard3-1
2024-06-05 16:22:48.812707, -1001630692598_13058, DYDXUSDT, long, standard3-1
2024-06-05 16:49:15.347713, -1001784672307_25319, DYDXUSDT, long, standard3-1
2024-06-05 18:10:50.457334, -1001553917296_3987, ETHUSDT, long, standard3-1
2024-06-05 18:11:34.399042, -1001593982841_5747, SNXUSDT, long, standard3-1
2024-06-05 18:13:06.791976, -1001552004524_35067, BTCUSDT, short, standard3-1
2024-06-05 21:18:05.910170, -1001552004524_35071, BTCUSDT, short, standard3-1
2024-06-05 22:02:41.364619, -1001939319331_11815, STXUSDT, long, standard3-1
2024-06-05 23:28:58.035265, -1001678077087_35796, ATOMUSDT, long, standard3-1
2024-06-06 02:44:49.030087, -1001552004524_35082, BTCUSDT, long, standard3-1
2024-06-06 03:15:59.546316, -1001390568202_11863, TNSRUSDT, long, standard3-1
2024-06-06 03:16:02.762174, -1001390568202_11864, TNSRUSDT, long, standard3-1
2024-06-06 03:16:14.836819, -1001390568202_11868, FRONTUSDT, long, standard3-1
2024-06-06 03:26:11.923736, -1001552004524_35083, BTCUSDT, long, standard3-1
