2024-06-04 21:11:04.819207, -1001553551852_38284, MKRUSDT, short, standard3-1
2024-06-04 21:12:09.032257, -1001552004524_35003, ARUSDT, short, standard3-1
2024-06-04 21:42:59.270950, -1001553551852_38286, MKRUSDT, long, standard3-1
2024-06-04 23:17:10.342836, -1001622654998_119713, ZRXUSDT, long, standard3-1
2024-06-04 23:48:21.560777, -1001622654998_119716, ZECUSDT, long, standard3-1
2024-06-04 23:48:22.676228, -1001622654998_119719, SKLUSDT, long, standard3-1
2024-06-05 00:04:07.376772, -1001317169843_11939, AIUSDT, long, standard3-1
2024-06-05 00:20:35.429238, -1001622654998_119726, DASHUSDT, long, standard3-1
2024-06-05 00:38:53.446399, -1001902940198_12865, SANDUSDT, long, standard3-1
2024-06-05 00:43:56.269411, -1001553551852_38292, ALGOUSDT, long, standard3-1
2024-06-05 01:46:01.518954, -1001622654998_119740, SKLUSDT, long, standard3-1
2024-06-05 01:56:00.909586, -1001553551852_38295, TWTUSDT, long, standard3-1
2024-06-05 01:59:57.741076, -1001553551852_38297, NTRNUSDT, short, standard3-1
2024-06-05 02:00:06.017155, -1001478129073_1994, ETHUSDT, long, standard3-1
2024-06-05 02:01:25.143513, -1001155784837_32793, AXSUSDT, long, standard3-1
2024-06-05 02:12:16.190359, -1001622654998_119742, SKLUSDT, long, standard3-1
2024-06-05 04:14:03.419946, -1001390568202_11831, ORDIUSDT, long, standard3-1
2024-06-05 04:14:17.438484, -1001939452549_8126, CKBUSDT, short, standard3-1
2024-06-05 05:16:10.215671, -1001304556087_14122, TIAUSDT, long, standard3-1
2024-06-05 05:41:07.900210, -1001197799988_38198, BNBUSDT, long, standard3-1
2024-06-05 06:08:30.080722, 53435331_13908, TRBUSDT, long, standard3-1
2024-06-05 06:12:48.879035, -1001630692598_13032, FTMUSDT, long, standard3-1
2024-06-05 06:16:08.984784, -1001212188460_26440, ARBUSDT, long, standard3-1
2024-06-05 06:19:48.494929, 53435331_13909, TONUSDT, long, standard3-1
2024-06-05 06:34:13.199731, 53435331_13915, TONUSDT, long, standard3-1
2024-06-05 06:36:41.998089, 53435331_13916, TONUSDT, long, standard3-1
2024-06-05 06:44:11.979060, -1001212188460_26443, ARBUSDT, long, standard3-1
2024-06-05 06:45:49.517314, -1001902940198_12873, RENUSDT, long, standard3-1
2024-06-05 06:48:17.340809, -1001902940198_12874, OCEANUSDT, long, standard3-1
2024-06-05 07:13:07.801303, -1001265767587_9004, BTCUSDT, long, standard3-1
2024-06-05 07:13:47.287658, -1001558796279_6555, ENAUSDT, short, standard3-1
2024-06-05 07:22:22.092500, -1001265767587_9005, BNBUSDT, long, standard3-1
2024-06-05 07:23:14.575527, -1001265767587_9006, ROSEUSDT, long, standard3-1
2024-06-05 07:24:55.564914, -1001902940198_12877, RENUSDT, long, standard3-1
2024-06-05 08:00:29.608036, -1001543510066_9981, APTUSDT, long, standard3-1
